"Appendix 3. Upper 25% quantile of Evolutionary Distinctiveness across 9,755 lepidosaur species and respective threat status according to the IUCN Red List.",,,,
,,,,
Infraorder,species,status,x,
Anguimorpha,Anniella_alexanderae,UA,25.05733633,
Anguimorpha,Anniella_campi,UA,25.58850629,
Anguimorpha,Anniella_geronimensis,EN,26.06673945,
Anguimorpha,Anniella_grinnelli,UA,27.40999977,
Anguimorpha,Anniella_puLChra,LC,24.45302144,
Anguimorpha,Anniella_stebbinsi,UA,25.01369101,
Anguimorpha,Diploglossus_montisilvestris,DD,15.77103778,
Anguimorpha,Heloderma_horridum,LC,47.90959627,
Anguimorpha,Heloderma_suspectum,NT,47.90959627,
Anguimorpha,Lanthanotus_borneensis,UA,61.03903275,
Anguimorpha,Ophisaurus_attenuatus,LC,15.79444095,
Anguimorpha,Ophisaurus_koellikeri,LC,19.06318244,
Anguimorpha,Ophisaurus_ventralis,LC,16.72487276,
Anguimorpha,Shinisaurus_crocodilurus,EN,103.4246732,
Anguimorpha,Varanus_griseus,UA,19.22503821,
Anguimorpha,Varanus_niloticus,UA,18.04634181,
Anguimorpha,Xenosaurus_agrenon,UA,38.48740156,
Anguimorpha,Xenosaurus_grandis,VU,34.08347016,
Anguimorpha,Xenosaurus_mendozai,UA,38.8324084,
Anguimorpha,Xenosaurus_newmanorum,EN,42.12214717,
Anguimorpha,Xenosaurus_penai,LC,39.28001256,
Anguimorpha,Xenosaurus_phalaroanthereon,DD,38.55391653,
Anguimorpha,Xenosaurus_platyceps,EN,33.27909506,
Anguimorpha,Xenosaurus_rackhami,UA,37.91571388,
Anguimorpha,Xenosaurus_rectocollaris,LC,39.43108687,
Anguimorpha,Xenosaurus_tzacualtipantecus,UA,39.13059188,
Dibamidae,Anelytropsis_papillosus,LC,48.43365639,
Dibamidae,Dibamus_alfredi,UA,40.77773571,
Dibamidae,Dibamus_bogadeki,UA,42.30053973,
Dibamidae,Dibamus_booliati,UA,42.55326432,
Dibamidae,Dibamus_bourreti,DD,44.07663756,
Dibamidae,Dibamus_celebensis,UA,33.30599162,
Dibamidae,Dibamus_dalaiensis,UA,43.35223271,
Dibamidae,Dibamus_deharvengi,UA,41.43040209,
Dibamidae,Dibamus_dezwaani,UA,44.34239965,
Dibamidae,Dibamus_greeri,UA,31.7092429,
Dibamidae,Dibamus_ingeri,UA,45.91574378,
Dibamidae,Dibamus_kondaoensis,UA,40.93762102,
Dibamidae,Dibamus_leucurus,UA,44.64649023,
Dibamidae,Dibamus_montanus,UA,31.71537331,
Dibamidae,Dibamus_nicobaricum,UA,46.63838807,
Dibamidae,Dibamus_novaeguineae,LC,40.22849117,
Dibamidae,Dibamus_seramensis,UA,33.55134002,
